;TEXT;LABEL;FIRST_PERSON_PLURAL;THIRD_PERSON;SERVICE_IS_RESTRICTED;HT_FIND_KEYWORDS;SERVICE_PLACE
10;live, hot, xxx encounters! sexy, wild, sizzling playmates! free call! ✆ 778.404.7212 -or- cell: #5050 -or- #6556 young, kinky, wild, open-minded girls! >> dial: #5050  many different girls are available, right now! call now to obtain girls descriptions and to see who’s available! there are dozens of different girls that you can connect to & hookup with! call anytime, 24 hours a day, 7 days a week! always a great selection of different girls for you to choose from! anything goes! blondes, brunettes, redheads, all nationalities! all fantasies & fetishes!  call from your mobile -or- landline phone! call the number associated with your phone carrier  mobile users: telus subscribers, call: ………………..... 778.404.7212 (or) dial: #6556 rogers & fido subscribers, call: …….............… #5050 (or) #6556 all other mobile carriers, call: …............ 778.404.7212 (or) #5050  landline users: all landline carriers, call: ………........… 778.404.7212  (or) 1.900.524.6556;1.0;0;1;0;0;-1.0
11;live, hot, xxx encounters! sexy, wild, sizzling playmates! free call! ✆ 709.757.6553 -or- cell: #5050 -or- #6556 young, kinky, wild, open-minded girls! >> dial: #5050  many different girls are available, right now! call now to obtain girls descriptions and to see who’s available! there are dozens of different girls that you can connect to & hookup with! call anytime, 24 hours a day, 7 days a week! always a great selection of different girls for you to choose from! anything goes! blondes, brunettes, redheads, all nationalities! all fantasies & fetishes!  call from your mobile -or- landline phone! call the number associated with your phone carrier  mobile users: telus subscribers, call: ………………..... 709.757.6553 (or) dial: #6556 rogers & fido subscribers, call: …….............… #5050 (or) #6556 all other mobile carriers, call: …............ 709.757.6553 (or) #5050   landline users: all landline carriers, call: ………........… 709.757.6553 (or) 1.900.524.6556;1.0;0;1;0;0;-1.0
12;live, hot, xxx encounters! sexy, wild, sizzling playmates! free call! ✆ 709.800.4359 -or- cell: #6556 young, kinky, wild, open-minded girls! >> dial: #5050  many different girls are available, right now! call now to obtain girls descriptions and to see who’s available! there are dozens of different girls that you can connect to & hookup with! call anytime, 24 hours a day, 7 days a week! always a great selection of different girls for you to choose from! anything goes! blondes, brunettes, redheads, all nationalities! all fantasies & fetishes!  call from your mobile -or- landline phone! call the number associated with your phone carrier  mobile users: telus subscribers, call: ………………..... 709.800.4359 (or) dial: #6556 rogers & fido subscribers, call: …….............… #5050 (or) #6556 all other mobile carriers, call: …............ 709.800.4359 (or) #5050  landline users: all landline carriers, call: ………........… 709.800.4359 (or) 1.900.524.6556;1.0;0;1;0;0;-1.0
13;live, hot, xxx encounters! sexy, wild, sizzling playmates! free call! ✆ 709.757.6553 -or- cell: #5050 -or- #6556 young, kinky, wild, open-minded girls!  many different girls are available, right now! call now to obtain girls descriptions and to see who’s available! there are dozens of different girls that you can connect to & hookup with! call anytime, 24 hours a day, 7 days a week! always a great selection of different girls for you to choose from! anything goes! blondes, brunettes, redheads, all nationalities! all fantasies & fetishes!  call from your mobile -or- landline phone! call the number associated with your phone carrier  mobile users: telus subscribers, call: ………………..... 709.757.6553 (or) dial: #6556 rogers & fido subscribers, call: …….............… #5050 (or) #6556 all other mobile carriers, call: …............ 709.757.6553 (or) #5050  landline users: all landline carriers, call: ………........… 709.757.6553  (or) 1.900.524.6556;1.0;0;1;0;0;-1.0
14;live, hot, xxx encounters! sexy, wild, sizzling playmates! free call! ✆ 709.800.4359 -or- cell: #5050 -or- #6556 young, kinky, wild, open-minded girls!  many different girls are available, right now! call now to obtain girls descriptions and to see who’s available! there are dozens of different girls that you can connect to & hookup with! call anytime, 24 hours a day, 7 days a week! always a great selection of different girls for you to choose from! anything goes! blondes, brunettes, redheads, all nationalities! all fantasies & fetishes!  call from your mobile -or- landline phone! call the number associated with your phone carrier  mobile users: telus subscribers, call: ………………..... 709.800.4359 (or) dial: #6556 rogers & fido subscribers, call: …….............… #5050 (or) #6556 all other mobile carriers, call: …............ 709.800.4359(or) #5050  landline users: all landline carriers, call: ………........… 709.800.4359 (or) 1.900.524.6556;1.0;0;1;0;0;-1.0
15;live, hot, xxx encounters! sexy, wild, sizzling playmates! free call! ✆ 709.757.6553 -or- cell: #6556 young, kinky, wild, open-minded girls!  many different girls are available, right now! call now to obtain girls descriptions and to see who’s available! there are dozens of different girls that you can connect to & hookup with! call anytime, 24 hours a day, 7 days a week! always a great selection of different girls for you to choose from! anything goes! blondes, brunettes, redheads, all nationalities! all fantasies & fetishes!  call from your mobile -or- landline phone! call the number associated with your phone carrier  mobile users: telus subscribers, call: ………………..... 709.757.6553 (or) dial: #6556 rogers & fido subscribers, call: …….............… #6556 all other mobile carriers, call: …............ 709.757.6553  landline users: all landline carriers, call: ………........… 709.757.6553 landlines also rong>: …………..….............. 1.900.524.6556;1.0;0;1;0;0;-1.0
16;Im kali 29years old, blessed to look 23-25. i have the patience, maturity and extra spice to make our time unforgettable. with a sense of humour that will have you giggling like a school boy. my exotic features become a fun guessing game of my background. standing 54, just the right size. 140lbs with curves in all the right places for you to trace the outlines of my body. an ample 34dd cup with perky peeksdoe like brown eyes and a colgate smile to match.my varying services are sure to entice you, no matter your walk of life. with no judgments and a very opened mind. educated and well traveled, i speak 4 languages. poised and always graceful yet extremely down to earth.contact for more info include name, age, and area.verfied & realfacilities available (shower, towel etc.) awlays fresh & clean real&recent pics100% independentin&outcalls.blocked callsrudeness will be ignored;1.0;1;0;0;0;-1.0
17;Hello my sugar bears for those who haven't yet had the pleasure....im kali 29years old, . i have the patience, maturity and extra spice to make our time unforgettable. with a sense of humour that will have you giggling like a school boy. my exotic features become a fun guessing game of my background. standing 53, just the right size. 140lbs with curves in all the right places for you to trace the out lines of my body. an ample 34dd cup with perky peeksdoe like brown eyes and a colgate smile to match.my varying services are sure to entice you, no matter your walk of life. with no judgments and a very opened mind.educated and traveled, i speak 4 languages. poised and always graceful yet extremely down to earth.contact for more info include name, age, and area.verfied & realfacilities available (shower, towel etc.) awlays fresh & clean real&recent pics100% independentin&outcalls.blocked callsrudeness will be ignored;1.0;1;0;0;0;-1.0
18;"Dear gentlemen,the gorgeous blonde stella french is available for incalls in downtown winnipeg this june 10-16th for a rare visit and she is not to be missed!stella is a true elite & exclusive companion; classy, feminine, well mannered, smart, good conversationalist and eager to please! stella french downtown winnipeg june 10-16thstats:quebecoise5'4117 pounds34b-24-34long blonde hairhazel eyes27 years oldcontact:email: loading...website: click to view.comphone(text only): click to view-9690twitter: click to view.com";1.0;0;1;0;0;1.0
19;"screening and deposit mandatory. all work and no play makes lucy a dull girl- which is why i ensure that i play as hard as i work. there is never a dull moment in my life, which is why i am so grateful to all my dates for providing me an escape from the busy day-to-day just as much as i hope i provide one for them. i'm always up for a good tête-à-tête; whether it be about your day, a piece of breaking news, or the most recent netflix documentary, i ensure you that we will never have a lull in the conversation. ​​please visit my website for more details. ​​i'm always prepared for an adventure- let's make it something memorable. ​";1.0;0;0;0;0;-1.0
20;let me take you to a virtual heaven! we can enjoy each other on live one on one video calls or i can make you a personal custom video that will exceed your expectations and give you a whole new outlook on regular boring p0rn! you can tell me exactly what to do and how to do it to meet your every need and desire! annnddd... not only do i cater to your every sexual desire, i also love to talk and have day to day conversation with all my onlyfans and premium members! i also offer lots more content & online services to ensure i have something special for everyone! top 4% of all creators on onlyfans!¡ daily xxx content on onlyfans & premium snapchat!¡ snapchat: xo.blake001  onlyfans: https://onlyfans.com/brandiiblake ·daily pics & hott videos ~custom videos ~lesbian action ~watch me get fü©këd ~role play & fetish ~and live video calls!  online service only;1.0;0;0;0;0;-1.0
21;"i am still available in whitehorse for a little longer. certified level 1 shiatsu, experienced in athletic rehabilitation and hail from the top massage parlours of downtown vancouver and kitsilano.  rates: 250 1hr ""full service""  head to toe deep tissue massage 150 30 mins  light sensual relaxation shower, hot towel service and beverages are available to complete your experience in the incall. available for classy evening restaurant companionship, dates, shopping etc. birthdays, stags and such events can be organized.  very much interested in road trip travels and excursions as i have yet to see the wilderness of yukon. rates are according to time and personal chemistry.  texting is preferred, and kindly ask for serious inquiries. scheduling can be difficult as i get booked quickly the day of and always give priority to my vip club.  hope you choose my touch.";1.0;0;0;0;0;1.0
22;allow me to be your partner in creating a perfect escape…. i was born and raised in canada and am a stunning euro canadian mix. i am blessed to have a naturally curvy yet slender figure, with the softest skin you will ever touch. a light suntan compliments my sparkling green eyes and flowing red hair. i'm here for that certain someone who seeks something a bit out of the ordinary...i guarantee that our time together will be far from unforgettable. it would be my pleasure to help you slow down and enjoy life's simple pleasures. i am very generous with my time and affection. i will be visting whitehorse, in the spring. dates yet to be decided. please ensure you read my website before contacting me. *the best encounters are planned in advance, therefore i am not able to entertain short notice or same day requests* i look forward to hearing from you, xoxo emily follow me on instagram @msemilyrushton or twitter @msemilyrushton for more pictures and everything else emily;1.0;1;0;0;0;-1.0
23;french brunette beauty 36dd natural angelica is available now in charlottetown and she is not to be missed.incalls in a clean and discreet location. if you like sexy curves, big natural breast & very soft skin angelica is the one for you. you can reserve now!  angelica french @ charlottetown april 18-21nd  stats: quebecoise 25 y.o 36dd(nat,)-24-36 5’7 140 lbs brown eyes brown hair  about: angelica is a brunette beauty with a sexy 36dd natural and delightful curves. eager to please, sensual and passionate angelica is the type of woman that make you feel comfortable right away. warm personality, sweet & friendly.  contact: for booking by email: yourfrenchlady1@protonmail.com website: http://www.yourfrenchlady.com phone: 438-835-9690 (text only)  you can follow us on twitter: @yourfrenchlady1;1.0;1;1;0;0;-1.0
24;french brunette beauty 36dd natural angelica is visiting halifax this week and she is not to be missed! first time visiting! incalls in a clean and discreet location. if you like sexy curves, big natural breast & very soft skin angelica is the one for you. you can reserve now!  angelica french @ charlottetown april 18-21nd  stats: quebecoise 25 y.o 36dd(nat,)-24-36 5’7 140 lbs brown eyes brown hair  about: angelica is a brunette beauty with a sexy 36dd natural and delightful curves. eager to please, sensual and passionate angelica is the type of woman that make you feel comfortable right away. warm personality, sweet & friendly.  contact: for booking by email: yourfrenchlady1@protonmail.com website: http://www.yourfrenchlady.com phone: 438-835-9690 (text only)  you can follow us on twitter: @yourfrenchlady1;1.0;1;1;0;1;1.0
25;let me take you to a virtual heaven! we can enjoy each other on live one on one video calls or i can make you a personal custom video that will exceed your expectations and give you a whole new outlook on regular boring p0rn! you can tell me exactly what to do and how to do it to meet your every need and desire! annnd.. not only do i cater to all your sexual needs i also love to talk and have day to day conversation with all premium & onlyfans members! i also offer lots more content & online services to ensure i have something special for everyone! top 4% of all creators on onlyfans! daily xxx content on onlyfans & premium snapchat snapchat: xo.blake001  onlyfans: https://onlyfans.com/brandiiblake ·daily pics & hott videos ~custom videos ~lesbian action ~watch me get fü©këd ~role play & fetish ~and live video calls! only online services;1.0;0;0;0;0;-1.0
26;my services are erotic lick eat & gfe & 69 style &bbbj+bj no condom &body to body, massage &shower together &kissing and touch me & b2b and many more including greek full service 100 for half hour 200 for 1hour 300 for 2hours 350 for 3hours 400 for 4hours 500 for all day/night 600 for threesome;1.0;0;0;0;0;-1.0
27;je suis disponible pour toute rencontre coquine;1.0;0;0;0;0;-1.0
28;"hello hello helloooooooo! how are you my luvbugz?! it's been too long! waaaay too long! like nearly 2 years! i've missed you all dearly! truly, ch'town holds all my fav luvbugz! a visit is in the works for the week of march 7 im so looking forward to seeing you all real soon! xox for those who don't know, i'll invite you to do google search using a coma between keywords; ""kali keys"" ""escort"" ""reviews"" all my reviews will show up and i'm sure i'll be getting an email from you! see you then luvbug!   i'm currently only taking email applications please include, name, age, in or outcall, please include area for outcalls  kalikeys06@gmail.com verfied & real facilities available (shower, towel etc.)  awlays fresh & clean  real&recent pics 100% independent in&outcalls. blocked calls rudeness will be ignored";1.0;0;0;0;0;0.0
29;hi babe im not like the other girls im real  what u see is what u get amazing body bubble butt soft skin sexy angel face always look good ..lingerie&outfit available ..no rush no drama fun only 100%real and safe very tight;1.0;0;0;0;0;-1.0
30;allow me to be your partner in creating a perfect escape…. i was born and raised in canada and am a stunning euro canadian mix. i am blessed to have a naturally curvy yet slender figure, with the softest skin you will ever touch. a suntan compliments my sparkling green eyes and flowing red hair. i'm here for that certain someone who seeks something a bit out of the ordinary...i guarantee that our time together will be far from unforgettable. it would be my pleasure to help you slow down and enjoy life's simple pleasures. i am very generous with my time and affection. i will be visiting charlottetown, in spring of 2022. dates yet to be decided. please ensure you read my website before contacting me via email. *the best encounters are planned in advance, therefore i am not able to entertain short notice or same day requests* i look forward to hearing from you, xoxo emily follow me on instagram @msemilyrushton or twitter @msemilyrushton for more pictures and everything else emily;1.0;1;0;0;0;-1.0
31;"hi gentlemen im a sexy young women with stunningly gorgeous face to match with my curvy body. services offered camshow session 1 on 1 videocall : lapdance ,teasing, deept show, kitty play, d.ldo play , watch u play with ur d. & exploded together babe. premium snapchat:( private group for monthly subscribers ), daily shows: lapdance ,deept show, boy- girl , girl- girl , shower show , lingeriemodelin, car fun, outdoors fun, and many more. sxting session: pics & videos sharing , explicit talk .  customs videos or vids on demand for sale . lingerie for sale. add me on snapchat for preview snapchat : talya_bigtitts1 free onlyfans;onlyfans.com/talya_thebody all my social media here: https://linktr.ee/talya_thebody tel: 647-492-4596";1.0;0;0;0;0;-1.0
32;hi, i am kemeko 45 years 0lder japanese divorced, horny, mom looking for a discreet guy for fun. i am open to almost everything so is your imagination. i can host night or day full service _ if there is a mutual attraction lets meet _ email me:: kemekofuk247@ gmail.com {anytime} put “your phone number” in the subject line then i will call you.;1.0;0;0;0;0;-1.0
33;"in case we've not yet had the pleasure..  i'm a 5'6 true brunette with a movie star smile and bright, blue/green eyes that you'll love to have look back up at you.. with a toned & tattooed all natural body that i love to show off and share with certain gentlemen and couples, let my body be your playground..  i offer my sensual, pampering attention for those who appreciate the softer side of a lady; and a kinky experience for those with more... curious tastes :p  openminded and genuine, i love to indulge fantasies, from the vanilla to things a bit more intense, my true passion is pleasing my guests! with a wardrobe to captivate many tastes, and and overflowing toy box, the possibilities for pleasure are endless..  daily updates on twitter & onlyfans! @msmandahfx https://onlyfans.com/msmandahfx  stars.avn.com/msmandahfx  nladult.com/msmanda  verified with years of lyla reviews!  please visit my site for details,  or email for info! xx";1.0;0;0;0;0;-1.0
34;bonjour, nice to meet you! i am lou simone, a lovely mature companion from montreal of impeccable reputation. i am visiting your area august 5-7. i am available for one rendez-vous of 2h+. i am equally attracted to women and men and i adore meeting with couples. i can host or travel to you. reference and/or deposit are mandatory. for details, i invite you to visit my website at www.lousimonebbw.com twitter @mllelousimone au plaisir xox;1.0;0;0;0;0;-1.0
35;tnt spas monday's  tnt north 10-430pm : 8103-127 avenue suite 7 (780) 457-9905 destiny : slim tiny blue eyed blonde ddd's in 30's (587) 906-4260 monique: hot caribbean firm ddd's in 30's (587) 710-0518 paige : hot curvy indigenous blonde dd's (587) 419-0283 summer: milf 40 36dd with soft curves (587) 507-3036 adrianna : brazillian mixed cutie d's (825) 993-9316 * tnt west : 10am-430pm 15241 stony plain road, downstiars, (780) 483-6955   terri : 5'9 mix blonde with blue grey eyes dd's (587) 991-7607 brandy: 6ft tall blonde c's 19yrs old (587) 786-1144 bristol: hot redhead slim perky 34c's accent (587) 849-5740  samantha: 5'6 tiny dark haired blue eyed cutie c's (587) 850-5120 * tnt lux 9am-4pm  11315 174 street, 2nd floor (780) 758-5899  dominique: 5'3 caribbean beauty 34d's (587) 408-6979 myah : east indian mixed cutie in 20's d's (587) 400-3588  mariah : tall slim college blonde 23yrs old ddd's (587) 333-5995  www.thenexttemptation.com;1.0;0;0;0;0;-1.0
36;sexy hot 5'3 caribbean beauty. enhanced firm perky 34d's appts preferred text: (587) 408-6979 sweet, sensual, open and fun! reasonable rates! unrushed fun! discreet location with lots of parking! available at 11315 174 street, 2nd floor monday / wednesday / thursday / friday 9am-4pm experience fun today! sensual massage! let me give you an unforgettable experience! text dominique today (587) 408-6979;1.0;0;0;0;0;-1.0
37;join us monday - saturday 7am-10am and sundays 7am-11am $160 for 30 minutes $260 for 60 minutes  full fun for a reasonable rate - join us today! www.thenexttemptation.com north: 8103-127 avenue suite 7 (780) 457-9905 text the early morning ladies to book an amazing session: our north ladies: brooke : redhead. curvy c's. porcelain skin : text (587) 410-1550  monique : slim tiny caribbean girl dd's (587) 710-0518 chloe : slim college blonde perky dd's 20 years old (587) 400-3574 jade : slim fit blonde dd's (587) 800-8477 hannah: tall slim blonde perky b's (587) 329-9957 cassidy jade : slim blonde perky c's (587) 568-7561 lizzy: 19 yr old college caribbean girl perky b's (587) 870-2111 sage : hot curvy blonde ddd's call spa tasia : blonde with 36hhh's wow  text (587) 332-3412 summer: hot milf perky d's in her late 30's text (587) 699-8604 roxii - tall slim nice dd's brunette (587) 355-4861 visit us today for great rates,great sessions and always good times!;1.0;1;1;0;0;-1.0
38;hey boys hit me up if you're ready for a great time barley any restrictios very open minded i'll rock your world i'm just a text away  (587) 871-4832;1.0;0;0;0;0;-1.0
39;april 24 line up  sierra  amazing busty babe 23 olivia hot busty blonde 23  alayna 32 bella last night 22 5873771898;1.0;0;0;0;0;-1.0
40;very lovely trinidadian babe pretty face, the hottest body  ►nice firm perky a$s ! pink pu$$y alert ► open minded and sensual.                           ☆☆☆i take cleaniless seriously☆☆☆ take a fresh break from your stress and enjoy a relaxing freaky time with a $ex doll like me ►my service is top quality and and no rush at all it will leave you wanting more. best relaxing massages  ☆ don't be shy to tell me about your fetishes☆ ►i give none rush sloppy bl0wjobs :)  ►i love a$$ spanks while doing doggy  ►you’ll have the best view in all positions!! 100% authentic, i'm a real person and i post real and recent photos no greek or bb !! ( safe service )  pls no text apps !! outcalls require uber   party friendly  3 hours spcl multi hours incall : 120hh 200hr  contact me for my location - stoney creek - 289-236-0444 new on onyfans :  https://onlyfans.com/thechloedollxxx                                                  c;1.0;0;0;1;0;0.0
41;trinidadian babe, thick big boobs bigger ass & curvy body with the face of an angel  ready to give you the hottest & 100% non rushed session of a life time. i'm outgoing and love to have a good time.i make sure everyone feels as comfortable as possible. hygiene is priority. i am available for overnights, multi-hours & outings new on onyfans : https://onlyfans.com/thechloedollxxx custom videos/photos available for purchase                   party friendly  i promise to satisfy you to your every desire, leaving you happy.  independent & discreet seductive and horny manicure/pedicure always extremely clean and hygienic safe practice only - no exceptions 32 dd - all natural body no text apps i check no greek or bb !  if you're interested in booking a session only contact through text  incall : 120hh or 200hr 289-236-0444 please introduce yourself with your name,age and ethnicity. serious inquiries only. i look forward to hearing from you xx  chloe xoxo;1.0;0;0;1;0;1.0
42;"sensual, intuitive, seductive... hello gentlemen, i'm vivacious vivian, a cute curvy companion in victoria. i'm mature, playful and fun with soft touchable curves. i have long silky curls, deep blue eyes, a sweet demeanour and a filthy mind.   come visit me for the ultimate girlfriend experience, at my discreet downtown debauchery den. let's get naked! $250 - 1 hour $320 - 90 mins $400 - 2 hours my panties gets wet when you book me a day or more in advance. i sure do love a man with a plan...  to book, please send a polite text or email, tell me a bit about  yourself, include the day and time you'd like to meet.  visit my website, i'll give you an experience to remember ** i don't party or entertain after 10pm.  thanks for reading the whole ad! bonus brownie points if you use the word ""spicy"" somewhere in your introduction.    text 250-514-2546";1.0;0;0;0;0;-1.0
43;"hey you, i'm glad you found me;)   i'm ocean mckenzie, and i'm a bbw with a huge appetite.  i am a voluptuous blonde with big brown eyes, a sweet mouth, and thunder thighs to squish your face with.  i love getting ready for you, take pleasure in learning what you enjoy, and can't wait to indulge you in a full meal.   please visit my website for booking information:  meetoceanmckenzie.ca   duos: i offer duos with the gorgeous jenna jayde jennajayde.com  please book 24 hrs in advance";1.0;0;0;0;0;-1.0
44;serious enquires only pls ...  text preferred (250) 797 - 9553 further info available at www.ursexysecret.cc *(outcalls are subjective to a small fee depending on time and expense of traveling : let my  hands soothe all your aches away with our magic fingers slowly carressing you all over .... ,please keep in mind i don’t party and no asking for more photos or rate negotiation  catering to mature respectful gentlemen • no blocked calls  i provide what i call an enthusiastic  experience i am enthusiastic about creating a mood, heightening our desire,i and pursuing our mutual pleasure to make the very best of our time. incall available in nanaimo tonight and tomorrow night.;1.0;1;0;0;0;0.0
45;videocall to verify( but before calling send me a whatsapp first if im free to vidcall)  more photos, services and videos here: fancentro.com/miaoriental  whatsapp: +17742688574  my working hours is 12 noon to 12 mid night im mia independent, working alone. im open minded because i travel to a lot of countries. i only speak english btw. im staying in a 3 or 4 star hotel alone for in call and i can also do out call to hotels only. *** all my photos are genuine and 100% me. whatever you see here is what you get when you meet me***  i'm sure that you are dreaming of finding an unforgettable experience, so let me assure you that you found the girl of your dreams. i definitely want to meet you. i dont smoke, i dont have tattoos ,im an occasional drinker, always eat healthy and keep myself fit. i have a very soft fare supple skin to touch, long black shiny hair.   subscribe to my sites: alua.com/sanyaoriental;1.0;0;0;0;0;0.0
